OA11CD,PC_DIST
E00003110,BR1
E00003120,BR1
E00003112,BR1
E00003122,BR1
E00004020,BR1
E00004038,BR1
E00003115,BR1
E00004026,BR1
E00004003,BR1
E00003248,BR1
E00003117,BR1
E00004002,BR1
E00003284,BR1
E00003250,BR1
E00004005,BR1
E00003995,BR1
E00003994,BR1
E00003141,BR1
E00003259,BR1
E00003256,BR1
E00003136,BR1
E00003149,BR1
E00166627,BR1
E00003258,BR1
E00003127,BR1
E00003246,BR1
E00003255,BR1
E00003139,BR1
E00003242,BR1
E00004010,BR1
E00003241,BR1
E00004024,BR1
E00003147,BR1
E00003998,BR1
E00004041,BR1
E00165788,BR1
E00004027,BR1
E00004034,BR1
E00003118,BR1
E00004016,BR1
E00003144,BR1
E00004009,BR1
E00003996,BR1
E00003151,BR1
E00004000,BR1
E00004033,BR1
E00003142,BR1
E00004032,BR1
E00165787,BR1
E00004017,BR1
E00166626,BR1
E00004036,BR1
E00003266,BR1
E00004029,BR1
E00003262,BR1
E00003281,BR1
E00003993,BR1
E00003148,BR1
E00003233,BR1
E00004001,BR1
E00003113,BR1
E00004023,BR1
E00004037,BR1
E00004039,BR1
E00003236,BR1
E00003129,BR1
E00004007,BR1
E00003111,BR1
E00003245,BR1
E00003992,BR1
E00004015,BR1
E00004025,BR1
E00003153,BR1
E00004035,BR1
E00003254,BR1
E00003267,BR1
E00003132,BR1
E00004040,BR1
E00003125,BR1
E00003130,BR1
E00003126,BR1
E00003146,BR1
E00004014,BR1
E00003247,BR1
E00003119,BR1
E00003137,BR1
E00003243,BR1
E00003145,BR1
E00004004,BR1
E00004006,BR1
E00003116,BR1
E00004028,BR1
E00003264,BR1
E00003991,BR1
E00166105,BR1
E00003282,BR1
E00004022,BR1
E00003133,BR1
E00004011,BR1
E00003134,BR1
E00003135,BR1
E00004030,BR1
E00004013,BR1
E00003997,BR1
E00003999,BR1
E00003249,BR1
E00003234,BR1
E00003232,BR1
E00003150,BR1
E00003235,BR1
E00003123,BR1
E00004012,BR1
E00004008,BR1
E00003154,BR1
E00003244,BR1
E00003138,BR1
E00004018,BR1
E00003114,BR1
E00004031,BR1
E00003143,BR1
E00003140,BR1
E00003251,BR1
E00016969,BR1
E00016378,BR1
E00016362,BR1
E00165789,BR1
E00016930,BR1
E00016929,BR1
E00016369,BR1
E00016352,BR1
E00016377,BR1
E00016348,BR1
E00016934,BR1
E00016375,BR1
E00165790,BR1
E00016363,BR1
E00016382,BR1
E00016367,BR1
E00016366,BR1
E00016389,BR1
E00016380,BR1
E00016373,BR1
E00016351,BR1
E00016393,BR1
E00016361,BR1
E00016354,BR1
E00016381,BR1
E00016960,BR1
E00016349,BR1
E00016356,BR1
E00016383,BR1
E00016971,BR1
E00016371,BR1
E00016954,BR1
E00016387,BR1
E00016938,BR1
E00016346,BR1
E00016391,BR1
E00016961,BR1
E00016379,BR1
E00016368,BR1
E00016388,BR1
E00016372,BR1
E00016360,BR1
E00016953,BR1
E00016957,BR1
E00016359,BR1
E00016964,BR1
E00016933,BR1
E00016390,BR1
E00016353,BR1
E00016939,BR1
E00016357,BR1
E00016365,BR1
E00016376,BR1
E00016374,BR1
E00016394,BR1
E00016931,BR1
E00016358,BR1
E00016935,BR1
E00016936,BR1
E00016392,BR1
E00016932,BR1
E00016966,BR1
E00016364,BR1
E00016350,BR1
E00003271,BR2
E00003738,BR2
E00003193,BR2
E00004067,BR2
E00003240,BR2
E00003228,BR2
E00003224,BR2
E00003708,BR2
E00003194,BR2
E00004062,BR2
E00004058,BR2
E00003486,BR2
E00003710,BR2
E00003196,BR2
E00003459,BR2
E00003207,BR2
E00003205,BR2
E00003253,BR2
E00004065,BR2
E00003720,BR2
E00004074,BR2
E00003204,BR2
E00003646,BR2
E00003268,BR2
E00003746,BR2
E00003740,BR2
E00003456,BR2
E00003152,BR2
E00004070,BR2
E00003216,BR2
E00003223,BR2
E00003707,BR2
E00003273,BR2
E00004046,BR2
E00003721,BR2
E00003261,BR2
E00003725,BR2
E00003212,BR2
E00003270,BR2
E00003199,BR2
E00004060,BR2
E00003237,BR2
E00003739,BR2
E00004052,BR2
E00003215,BR2
E00003226,BR2
E00003211,BR2
E00004049,BR2
E00003191,BR2
E00003186,BR2
E00003277,BR2
E00003753,BR2
E00003755,BR2
E00003711,BR2
E00003225,BR2
E00003229,BR2
E00003715,BR2
E00003751,BR2
E00003713,BR2
E00003717,BR2
E00003200,BR2
E00003124,BR2
E00004073,BR2
E00003714,BR2
E00004045,BR2
E00004054,BR2
E00003750,BR2
E00003478,BR2
E00003716,BR2
E00003276,BR2
E00003192,BR2
E00004059,BR2
E00003189,BR2
E00003745,BR2
E00003222,BR2
E00003217,BR2
E00003239,BR2
E00003213,BR2
E00003238,BR2
E00003190,BR2
E00004064,BR2
E00003257,BR2
E00003188,BR2
E00004053,BR2
E00003265,BR2
E00003220,BR2
E00003749,BR2
E00003230,BR2
E00004056,BR2
E00003218,BR2
E00003718,BR2
E00003263,BR2
E00004043,BR2
E00003214,BR2
E00003476,BR2
E00003260,BR2
E00004042,BR2
E00003198,BR2
E00004050,BR2
E00003269,BR2
E00003201,BR2
E00003280,BR2
E00003712,BR2
E00003208,BR2
E00003744,BR2
E00003275,BR2
E00003457,BR2
E00003279,BR2
E00003221,BR2
E00003197,BR2
E00003719,BR2
E00003748,BR2
E00166619,BR2
E00003203,BR2
E00003479,BR2
E00003723,BR2
E00003741,BR2
E00003754,BR2
E00003747,BR2
E00003649,BR2
E00003752,BR2
E00003756,BR2
E00003272,BR2
E00004044,BR2
E00004072,BR2
E00004075,BR2
E00003209,BR2
E00003231,BR2
E00166615,BR2
E00004071,BR2
E00004047,BR2
E00003278,BR2
E00003210,BR2
E00003187,BR2
E00003227,BR2
E00166624,BR2
E00003722,BR2
E00166621,BR2
E00003742,BR2
E00003219,BR2
E00003185,BR2
E00003283,BR2
E00003202,BR2
E00003195,BR2
E00003206,BR2
E00003403,BR3
E00003482,BR3
E00165793,BR3
E00003770,BR3
E00003773,BR3
E00003252,BR3
E00003450,BR3
E00003425,BR3
E00003788,BR3
E00003485,BR3
E00003789,BR3
E00003766,BR3
E00003433,BR3
E00003407,BR3
E00003762,BR3
E00003455,BR3
E00003791,BR3
E00003386,BR3
E00003468,BR3
E00003441,BR3
E00003467,BR3
E00003768,BR3
E00003890,BR3
E00003414,BR3
E00003453,BR3
E00003778,BR3
E00004055,BR3
E00003772,BR3
E00003449,BR3
E00003438,BR3
E00003914,BR3
E00166114,BR3
E00003779,BR3
E00166112,BR3
E00003412,BR3
E00003776,BR3
E00004078,BR3
E00003427,BR3
E00003765,BR3
E00003767,BR3
E00003405,BR3
E00003484,BR3
E00003777,BR3
E00003763,BR3
E00003416,BR3
E00003786,BR3
E00003802,BR3
E00003775,BR3
E00003388,BR3
E00003400,BR3
E00003481,BR3
E00003477,BR3
E00003390,BR3
E00003461,BR3
E00003471,BR3
E00003919,BR3
E00166109,BR3
E00003491,BR3
E00003780,BR3
E00003785,BR3
E00003764,BR3
E00003396,BR3
E00003418,BR3
E00003391,BR3
E00003469,BR3
E00003423,BR3
E00003769,BR3
E00003489,BR3
E00003758,BR3
E00003429,BR3
E00003790,BR3
E00003443,BR3
E00003800,BR3
E00003384,BR3
E00004068,BR3
E00003440,BR3
E00003447,BR3
E00003792,BR3
E00003452,BR3
E00003759,BR3
E00003796,BR3
E00003430,BR3
E00003415,BR3
E00003801,BR3
E00003466,BR3
E00003804,BR3
E00003411,BR3
E00003490,BR3
E00003760,BR3
E00003795,BR3
E00003399,BR3
E00004104,BR3
E00003378,BR3
E00003797,BR3
E00003454,BR3
E00004057,BR3
E00003946,BR3
E00003448,BR3
E00003381,BR3
E00003901,BR3
E00003784,BR3
E00003475,BR3
E00003462,BR3
E00003383,BR3
E00003413,BR3
E00003492,BR3
E00003409,BR3
E00003488,BR3
E00166115,BR3
E00003787,BR3
E00003799,BR3
E00003434,BR3
E00003445,BR3
E00003444,BR3
E00004048,BR3
E00004051,BR3
E00003432,BR3
E00003421,BR3
E00003380,BR3
E00003436,BR3
E00003422,BR3
E00003935,BR3
E00003472,BR3
E00004061,BR3
E00003793,BR3
E00003487,BR3
E00166107,BR3
E00003771,BR3
E00003922,BR3
E00003439,BR3
E00003480,BR3
E00003761,BR3
E00003458,BR3
E00003798,BR3
E00003389,BR3
E00004063,BR3
E00003464,BR3
E00003774,BR3
E00003465,BR3
E00003463,BR3
E00003377,BR3
E00003382,BR3
E00003379,BR3
E00003437,BR3
E00003460,BR3
E00003781,BR3
E00003783,BR3
E00003442,BR3
E00003927,BR3
E00003782,BR3
E00003474,BR3
E00003446,BR3
E00004069,BR3
E00003451,BR3
E00003470,BR3
E00003420,BR3
E00004066,BR3
E00003803,BR3
E00003431,BR3
E00003428,BR3
E00003402,BR3
E00003483,BR3
E00003385,BR3
E00003419,BR3
E00003435,BR3
E00003417,BR3
E00016151,BR3
E00004119,BR4
E00003737,BR4
E00003709,BR4
E00004082,BR4
E00004103,BR4
E00003743,BR4
E00004111,BR4
E00004083,BR4
E00004084,BR4
E00003736,BR4
E00003733,BR4
E00004110,BR4
E00003732,BR4
E00004108,BR4
E00004091,BR4
E00003729,BR4
E00004079,BR4
E00004077,BR4
E00004097,BR4
E00004088,BR4
E00004106,BR4
E00004081,BR4
E00003728,BR4
E00004096,BR4
E00004098,BR4
E00004105,BR4
E00004101,BR4
E00004113,BR4
E00003724,BR4
E00004080,BR4
E00004086,BR4
E00003726,BR4
E00003734,BR4
E00003735,BR4
E00003731,BR4
E00004094,BR4
E00004095,BR4
E00004114,BR4
E00003727,BR4
E00004085,BR4
E00004087,BR4
E00004109,BR4
E00004100,BR4
E00004090,BR4
E00004092,BR4
E00004116,BR4
E00003730,BR4
E00004118,BR4
E00004112,BR4
E00004115,BR4
E00004076,BR4
E00004107,BR4
E00004093,BR4
E00004089,BR4
E00004117,BR4
E00004099,BR4
E00004102,BR4
E00003970,BR5
E00003574,BR5
E00003978,BR5
E00003567,BR5
E00003856,BR5
E00003972,BR5
E00003519,BR5
E00003598,BR5
E00003580,BR5
E00003501,BR5
E00003863,BR5
E00003578,BR5
E00003495,BR5
E00003888,BR5
E00003575,BR5
E00003538,BR5
E00003957,BR5
